match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,timeseconds,spendtimeinlastfewshots,p1serveno,p2serveno,p1aceno,p2aceno,p1firstserveinnum,p2firstserveinnum,p1doublefaultnum,p2doublefaultnum,p1winnernum,p2winnernum,p1netnum,p2netnum,p1netwinnernum,p2netwinnernum,p1unforcederrornum,p2unforcederrornum,p1rundistance,p2rundistance,totalrallylengthinlastfewpoints,p1breakpointnum,p2breakpointnum,p1breakpointwinnum,p2breakpointwinnum,p1breakpointlosenum,p2breakpointlosenum,p1servewidthindex,p2servewidthindex,p1servedepthindex,p2servedepthindex,p1servespeedindex,p2servespeedindex,p1returndepthindex,p2returndepthindex
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7.84,2,0,0,0,0,0,0,1,-1,0,0,95,-95,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.253,7.094,1,0,0,0,0,0,0,0,0,1,-1,118,-118,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,91,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13.8,19.808,4,0,0,0,0,0,0,0,0,0,0,120,-120,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,141,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,51.108,75.631,13,0,0,0,0,0,0,1,-1,1,-1,130,-130,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,170,170,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.649,0.813,1,0,0,0,0,0,0,2,-2,0,0,112,-112,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,213,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.291,4.249,2,0,0,0,0,0,0,1,-1,0,0,97,-97,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,241,180,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,6.817,17.821,1,0,0,0,0,0,0,2,-2,1,-1,109,-109,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,288,197,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,17.503,18.067,6,0,0,0,0,0,0,0,0,0,0,105,-105,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,332,191,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,34.489,24.594,7,0,0,0,0,0,0,1,-1,1,-1,128,-128,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,425,255,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.235,27.427,5,0,0,0,0,0,0,0,0,0,0,110,-110,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,448,235,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5.785,4.915,1,0,0,0,0,0,0,-2,2,-1,1,-112,112,1,-1
