serveindex,gamesinlead,lastpointindex,aceadvantage,winneradvantage,doublefaultdisadvantage,unforcederrordisadvantage,netwinneradvantage,winningbreakpointadvantage,runningdistanceadvantage,firstserveadvantage
1,0,-1,0,0,0,0,0,0,0,0
1,0,-1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
1,0,-1,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0
1,0,1,1,2,0,2,0,0,3.4376,4
1,0,-1,1,2,0,1,0,0,3.1494,4
1,0,1,2,3,0,1,0,0,4.0657,4
1,0,-1,2,2,0,0,-1,0,3.5213,3
1,0,1,2,1,0,0,0,0,0.0795000000000002,3
-1,1,1,1,0,0,0,0,0,0.682300000000001,3
-1,1,-1,0,-1,0,0,0,0,0.6995,2
-1,1,1,-1,-2,0,0,0,0,-0.5509,0
-1,1,1,-1,-1,0,-1,1,0,-1.346,-1
-1,1,-1,-1,-2,0,-1,0,0,-0.712,-3
-1,1,-1,-1,-2,0,-1,0,0,-1.4474,-5
-1,1,1,0,-1,0,-1,0,0,-1.4597,-4
-1,1,-1,0,-1,0,-1,0,0,-1.2843,-4
1,0,-1,0,-2,0,0,-1,0,-0.4056,-4
1,0,1,1,0,0,0,-1,0,-0.0326999999999998,-2
1,0,1,1,0,0,0,-1,0,1.7503,0
1,0,-1,1,0,0,0,-1,0,2.2026,1
1,0,1,1,0,0,-1,-1,0,1.255,3
-1,1,1,1,1,0,-1,0,0,1.1847,4
-1,1,-1,0,0,0,0,0,0,1.2785,3
-1,1,-1,0,0,0,0,0,0,-0.483199999999999,1
-1,1,-1,-1,-1,0,0,0,0,-0.819799999999999,-1
1,0,-1,-1,-2,0,1,0,0,-1.1601,-3
1,0,1,-1,-1,0,1,0,0,0.1716,-2
1,0,1,-1,-1,0,0,0,0,0.459500000000001,-1
1,0,1,-1,-1,0,0,1,0,0.6093,1
1,0,-1,0,0,0,1,1,0,0.7285,2
1,0,-1,0,1,0,1,1,0,2.4132,3
1,0,-1,0,0,0,2,1,0,1.2698,3
1,0,1,0,0,0,2,2,0,0.352499999999999,2
-1,1,1,0,0,0,2,2,0,0.5726,2
-1,1,-1,0,0,0,1,2,0,0.267099999999999,1
-1,1,1,0,0,0,0,2,0,-0.105199999999999,1
-1,1,-1,0,0,0,-1,2,0,-0.5258,-1
-1,1,-1,0,0,0,-1,1,0,-0.0137,-2
1,0,-1,0,0,0,-1,0,0,-0.3263,-3
1,0,1,0,1,0,-1,0,0,-0.312,-2
1,0,1,0,1,0,-1,0,0,0.5647,-1
1,0,1,0,2,0,-1,0,0,1.2039,1
1,0,-1,0,2,0,-1,0,0,1.2688,2
-1,1,1,0,2,0,-1,0,0,0.6661,2
-1,1,-1,0,1,0,-1,0,0,0.7191,1
-1,1,1,0,1,-1,-1,0,0,-0.2074,0
-1,1,-1,-1,-1,-1,-1,0,0,-0.7418,-2
-1,1,1,-1,-1,-1,-2,0,0,-0.738,-2
-1,1,1,-1,0,-1,-2,0,0,-0.8402,-2
1,2,1,-1,0,-1,-3,0,1,-1.7932,-1
1,2,1,-1,0,0,-2,0,1,-1.6549,0
1,2,-1,0,1,0,-2,0,1,-1.3975,1
1,2,1,0,1,0,-1,0,1,-1.2712,2
1,2,-1,0,0,0,-1,0,1,-0.5239,3
1,2,1,0,0,0,0,1,0,0.5496,4
1,2,-1,0,0,0,1,1,0,0.289,4
1,2,1,0,0,0,1,1,0,-0.0782999999999987,5
1,2,-1,0,-1,0,1,0,0,-0.1224,4
1,2,-1,0,-2,0,1,-1,0,0.0257000000000005,4
1,2,1,0,-1,0,1,-2,0,0.963199999999999,4
1,2,1,0,-1,0,0,-2,0,1.1885,4
-1,0,1,0,-1,0,-1,-1,0,1.6576,4
-1,0,-1,-1,-1,0,-1,0,0,1.435,3
-1,0,-1,-2,-1,0,-1,1,0,1.2789,1
-1,0,-1,-2,-2,0,-1,0,0,0.3434,-1
1,-1,-1,-2,-2,0,-1,0,0,-0.0456,-3
1,-1,1,-1,-1,0,0,-1,0,-0.3282,-3
1,-1,1,0,0,0,0,-1,0,-0.1543,-2
1,-1,-1,1,0,0,0,-1,0,-0.1024,-1
1,-1,-1,1,0,0,1,0,0,0.3468,1
1,-1,1,2,1,0,1,0,0,0.7185,3
1,-1,-1,1,0,0,2,0,0,0.8566,2
1,-1,-1,1,0,0,3,0,0,0.9333,2
-1,-2,-1,1,1,0,3,0,-1,1.1201,3
-1,-2,-1,1,1,0,2,0,-1,0.584,1
-1,-2,-1,0,0,0,2,0,-1,0.633,-1
-1,-2,-1,0,-1,0,1,0,-1,-0.0949999999999996,-2
1,-3,-1,0,-1,0,1,0,-1,-0.0475999999999999,-2
1,-3,-1,0,-1,0,1,0,0,-1.3738,-3
1,-3,1,0,-1,0,1,0,0,-0.9908,-1
