serveindex,gamesinlead,lastpointindex,aceadvantage,winneradvantage,doublefaultdisadvantage,unforcederrordisadvantage,netwinneradvantage,winningbreakpointadvantage,runningdistanceadvantage,firstserveadvantage
1,0,-1,0,0,0,0,0,0,0,0
1,0,-1,0,0,0,1,0,0,0.184,0
1,0,1,0,0,0,0,0,0,0.1841,1
1,0,-1,0,0,0,1,0,0,0.6008,1
1,0,1,0,1,0,0,0,0,2.4523,1
1,0,1,1,1,0,0,0,0,0.0164,1
1,0,-1,0,0,0,0,0,0,-0.1042,0
1,0,1,1,1,0,0,0,0,1.1004,1
1,0,-1,0,-1,0,0,-1,0,0.0564,0
1,0,1,0,0,0,0,1,0,-0.9895,1
-1,1,1,0,0,0,0,0,0,0.6192,1
-1,1,-1,-1,-1,0,0,0,0,-0.087,-1
-1,1,1,0,0,0,0,0,0,-0.15,-1
-1,1,1,0,0,0,-1,0,0,-0.7387,-1
-1,1,-1,0,-1,0,0,0,0,-0.3555,-1
-1,1,-1,0,0,0,0,0,0,-0.1162,-1
-1,1,1,0,0,0,0,0,0,-0.0992999999999999,0
-1,1,-1,0,0,0,0,0,0,0.0254,-1
1,0,-1,0,-1,0,0,-1,0,0.14,-1
1,0,1,1,1,0,0,0,0,0.0174,1
1,0,1,0,0,0,0,0,0,1.6668,1
1,0,-1,0,0,0,0,0,0,0.353,1
1,0,1,0,0,0,-1,0,0,-0.922199999999999,1
-1,1,1,0,0,0,0,0,0,0.0697,0
-1,1,-1,0,0,0,1,0,0,0.1112,0
-1,1,-1,0,0,0,0,0,0,-0.0949,-1
-1,1,-1,-1,-1,0,0,0,0,0.0164,-1
1,0,-1,0,-1,0,0,0,0,-1.2625,-1
1,0,1,0,1,0,0,0,0,1.4014,1
1,0,1,0,0,0,0,0,0,0.3991,1
1,0,1,0,0,0,0,1,0,0.0548999999999999,1
1,0,-1,0,0,0,1,0,0,0.1356,0
1,0,-1,0,0,0,0,0,0,0.4222,0
1,0,-1,0,0,0,1,0,0,0.258,1
1,0,1,0,0,0,0,1,0,-0.5182,0
-1,1,1,0,0,0,0,1,0,0.275,1
-1,1,-1,0,0,0,0,0,0,-0.1699,-1
-1,1,1,0,0,0,-1,0,0,0.0498999999999999,0
-1,1,-1,0,0,0,0,0,0,-0.1626,-1
-1,1,-1,0,0,0,0,0,0,-0.00609999999999999,-1
1,0,-1,0,0,0,0,0,0,-0.0376,0
1,0,1,0,1,0,0,0,0,-0.1556,0
1,0,1,0,0,0,-1,0,0,0.9266,1
1,0,1,0,1,0,0,0,0,0.4766,1
1,0,-1,0,0,0,0,0,0,0.0588000000000001,0
-1,1,1,0,0,0,0,0,0,-0.6403,0
-1,1,-1,0,0,0,0,0,0,-0.1026,-1
-1,1,1,0,0,-1,-1,0,0,0.0001,0
-1,1,-1,-1,-1,0,0,0,0,-0.0578,-1
-1,1,1,0,0,0,-1,0,0,0.0625999999999998,0
-1,1,1,0,1,0,0,0,0,-0.7425,0
1,2,1,0,0,0,-1,0,1,-1.0556,0
1,2,1,0,0,0,0,0,0,0.1384,1
1,2,-1,0,0,0,0,0,0,0.1996,0
1,2,1,0,0,0,0,0,0,0.1889,1
1,2,-1,0,0,0,0,0,0,0.0048,1
1,2,1,0,0,0,0,1,0,0.0179,1
1,2,-1,0,0,0,1,0,0,-0.1222,1
1,2,1,0,0,0,0,0,0,-0.1677,1
1,2,-1,0,-1,0,0,-1,0,0.1448,0
1,2,-1,0,-1,0,0,-1,0,0.1529,1
1,2,1,0,1,0,0,0,0,0.9554,1
1,2,1,0,0,0,0,0,0,0.1031,1
-1,0,1,0,0,0,-1,1,0,0.3014,1
-1,0,-1,-1,-1,0,0,0,0,-0.0778,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0032,-1
-1,0,-1,0,0,0,0,-1,0,0.0199,-1
1,-1,-1,0,0,0,0,0,0,-0.2859,-1
1,-1,1,1,1,0,0,0,0,0.0188,1
1,-1,1,0,0,0,0,0,0,0.0961,0
1,-1,-1,0,-1,0,0,0,0,0.0487,0
1,-1,-1,0,0,0,1,0,0,0.4691,1
1,-1,1,1,1,0,0,0,0,0.0858,1
1,-1,-1,0,0,0,1,0,0,0.1569,0
1,-1,-1,0,0,0,1,0,0,0.1728,0
-1,-2,-1,0,0,0,0,0,-1,0.2355,1
-1,-2,-1,0,0,0,0,0,0,-0.067,-1
-1,-2,-1,0,0,0,0,0,0,0.1348,-1
-1,-2,-1,0,-1,0,0,0,0,-0.5711,-1
1,-3,-1,0,0,0,1,0,0,0.220200000000001,0
1,-3,-1,0,0,0,0,0,0,-1.0907,0
1,-3,1,0,0,0,0,0,0,0.316,1
1,-3,1,1,1,0,0,0,0,0.0178,1
1,-3,-1,0,0,0,0,0,0,-1.6968,1
1,-3,-1,0,-1,0,0,-1,0,0.2581,0
1,-3,1,0,0,0,-1,0,0,0.2897,0
1,-3,1,0,0,0,-1,0,0,0.3698,1
-1,-2,1,0,0,0,0,0,0,-0.7792,0
-1,-2,-1,0,-1,0,0,0,0,-1.6022,-1
-1,-2,-1,0,0,0,0,-1,0,-0.3845,-1
-1,-2,1,0,1,0,0,0,0,-0.6332,0
-1,-2,1,0,0,0,-1,0,0,-0.9372,-1
-1,-2,1,0,0,0,-1,0,0,-0.7221,-1
-1,-2,-1,0,0,0,0,-1,0,-0.5836,-1
-1,-2,1,0,0,0,0,0,0,-0.1279,0
-1,-2,-1,0,0,0,0,-1,0,-1.4211,-1
-1,-2,-1,0,0,0,0,0,0,-0.1548,-1
1,-3,-1,0,-1,0,0,-1,0,-0.4203,-1
1,-3,-1,0,0,0,0,0,0,0.825,0
1,-3,1,0,0,0,0,0,0,0.136,1
1,-3,-1,0,0,0,1,0,0,0.0639,0
1,-3,1,0,0,0,0,0,0,0.1626,1
1,-3,1,0,0,0,0,0,0,0.716,1
1,-3,-1,0,-1,0,0,0,0,1.8516,1
1,-3,1,0,1,0,0,1,0,0.8774,1
-1,-2,1,0,1,0,0,0,0,0.0407,0
-1,-2,1,0,0,0,-1,0,0,-0.4078,-1
-1,-2,-1,0,0,0,1,0,0,-0.3383,-1
-1,-2,-1,0,0,0,1,0,0,0.3156,-1
-1,-2,-1,0,-1,0,0,-1,0,-0.2329,-1
-1,-2,1,0,0,0,0,0,0,-2.554,-1
-1,-2,1,0,0,0,-1,0,0,-1.044,0
-1,-2,1,0,0,0,-1,0,0,-0.4833,0
-1,-2,-1,0,0,0,0,0,0,-0.5459,-1
-1,-2,-1,0,-1,0,0,-1,0,-0.6161,-1
-1,-2,1,0,0,0,-1,0,0,-0.2715,-1
-1,-2,1,0,0,0,0,0,0,-0.4032,0
1,-1,1,0,0,0,-1,0,1,-0.3141,-1
1,-1,1,0,0,0,0,0,0,0.1513,1
1,-1,1,0,0,0,0,0,0,0.0836,0
1,-1,1,0,0,0,-1,0,0,0.624,0
-1,0,1,0,1,0,0,0,0,0.3235,1
-1,0,1,0,0,0,0,0,0,-0.1068,-1
-1,0,-1,-1,-1,0,0,0,0,-0.0501,-1
-1,0,-1,0,0,0,0,0,0,-0.0346,0
-1,0,-1,-1,-1,0,0,0,0,-0.313,-1
1,-1,-1,0,0,0,0,0,0,-1.533,-1
1,-1,1,0,0,0,0,0,0,0.4514,1
1,-1,-1,0,0,0,0,0,0,1.7913,0
1,-1,1,0,0,0,-1,0,0,0.059,0
1,-1,1,0,0,0,0,0,0,2.313,1
1,-1,-1,0,0,0,0,0,0,0.3595,1
-1,0,1,0,0,0,0,0,0,0.5217,1
-1,0,-1,-1,-1,0,0,0,0,-0.0439,-1
-1,0,-1,0,0,0,0,0,0,-0.2533,-1
-1,0,1,0,0,0,-1,0,0,-0.2102,0
