match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,timeseconds,spendtimeinlastfewshots,p1serveno,p2serveno,p1aceno,p2aceno,p1firstserveinnum,p2firstserveinnum,p1doublefaultnum,p2doublefaultnum,p1winnernum,p2winnernum,p1netnum,p2netnum,p1netwinnernum,p2netwinnernum,p1unforcederrornum,p2unforcederrornum,p1rundistance,p2rundistance,totalrallylengthinlastfewpoints,p1breakpointnum,p2breakpointnum,p1breakpointwinnum,p2breakpointwinnum,p1breakpointlosenum,p2breakpointlosenum,p1servewidthindex,p2servewidthindex,p1servedepthindex,p2servedepthindex,p1servespeedindex,p2servespeedindex,p1returndepthindex,p2returndepthindex
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:00:38,1,1,2,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,95,-95,1,-1
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:01,1,1,3,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,213,-213,2,-2
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:01:31,1,1,4,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,333,-333,3,-3
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:21,1,1,5,0,0,0,0,141,0,4,0,0,0,3,0,0,0,1,0,0,1,0,0,2,0,76.161,110.373,20,0,0,0,0,0,0,2,-2,2,-2,463,-463,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:02:50,1,1,6,0,0,0,0,170,170,4,0,1,0,4,0,0,0,2,0,0,1,0,0,1,0,70.81,103.346,19,0,0,0,0,0,0,3,-3,2,-2,480,-480,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:03:33,1,1,7,0,0,0,0,213,175,4,0,1,0,3,0,0,0,2,0,0,1,0,0,1,0,70.848,100.501,20,0,0,0,0,0,0,4,-4,1,-1,459,-459,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:01,1,1,8,0,0,0,0,241,180,4,0,2,0,3,0,0,0,3,0,0,1,0,0,0,0,63.865,98.514,17,0,0,0,0,0,0,6,-6,2,-2,448,-448,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:04:48,1,1,9,0,0,0,0,288,197,4,0,2,0,2,0,0,0,2,1,0,1,0,1,0,0,30.26,40.95,10,0,0,0,0,0,0,5,-5,1,-1,423,-423,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:05:32,1,1,10,0,0,0,0,332,191,4,0,1,0,2,0,0,0,1,1,1,1,1,1,0,0,64.1,64.731,16,0,0,0,0,0,0,4,-4,2,-2,439,-439,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:05,1,2,11,0,0,1,0,425,255,4,0,1,0,3,0,0,0,1,1,1,1,1,1,0,0,80.044,87.909,19,0,0,0,0,0,0,3,-3,2,-2,452,-452,4,-4
2023-wimbledon-1301,Carlos Alcaraz,Nicolas Jarry,00:07:28,1,2,12,0,0,1,0,448,235,3,1,0,1,2,1,0,0,0,2,1,1,1,1,0,0,79.012,75.003,19,0,0,0,0,0,0,-1,1,0,0,231,-231,4,-4
